authors	title	genre	summary
Kiera Cass	The Guard (The Selection, #2.5)	young_adult	Before America Singer met Prince Maxon . . . Before she entered the Selection . . . She was in love with a boy named Aspen Leger.Don't miss this digital original novella set in the captivating world of Kiera Cass's #1 New York Times bestselling Selection trilogy. This brand new 64-page story begins just after the group of Selected girls is narrowed down to the Elite and is told from Aspen's point of view. The Guard also features a teaser to The One, the thrilling conclusion to The Selection trilogy.
Esther Forbes, Lynd Ward	Johnny Tremain	classics	Johnny Tremain, a young apprentice silversmith, is caught up in the danger and excitement of 1775 Boston, just before the Revolutionary War. But even more gripping than living through the drama of Revolutionary Boston is the important discovery Johnny makes in his own life.
Ernesto Che Guevara, Aleida Guevara March	The Motorcycle Diaries: Notes on a Latin American Journey	classics	The young Che Guevara’s lively and highly entertaining travel diary, now a popular movie and a New York Times bestseller. This new, expanded edition features exclusive, unpublished photos taken by the 23-year-old Ernesto on his journey across a continent, and a tender preface by Aleida Guevara, offering an insightful perspective on the man and the icon.Features of this edition include:A preface by Che Guevara’s daughter AleidaIntroduction by Cintio Vintier, well-known Latin American poetPhotos & maps from the original journeyPostcript: Che’s personal reflections on his formative years: “A child of my environment.”  Published in association with the Che Guevara Studies Center, Havana
Kristen Proby	Fight with Me (With Me in Seattle, #2)	romance	Jules Montgomery is too busy and content with her life to worry about a man, especially one Nate McKenna. If growing up with four brothers has taught her anything, she knows to stay away from sexy men with tattoos and motorcycles. That goes double if he's your boss. During the one incredible night they shared, he violated the no fraternization policy...among other things, and it won't happen again. Jules won't risk her career for mind-blowing sex, no matter how much her body and her damn heart keep arguing with her. Nate McKenna could give a shit about the no fraternizing policy. He wants Jules and he'll have her. The rules could bend around them, or be damned. He's not a man to be taken lightly, and Jules Montgomery is about to find out just how he responds to being pushed aside after the best night of sex he's ever had. She can fight all she wants, but he'll have her in his bed in the end.FIGHT WITH ME is the second novel in the With Me In Seattle Series.
Ted Dekker	Black: The Birth of Evil (The Circle, #1)	fantasy	Enter an adrenaline-laced epic where dreams and reality collide.Fleeing his assailants through deserted alleyways, Thomas Hunter narrowly escapes to the roof of a building. Then a silent bullet from the night clips his head...and his world goes black.From the blackness comes an amazing reality of another world-a world where evil is contained. A world where Thomas Hunter is in love with a beautiful woman. Then he remembers the dream of the chase as he reaches to touch the blood on his head.Where does the dream end and reality begin? Every time he falls asleep in one world, he awakes in the other-both facing catastrophic disaster. Thomas is being pushed beyond his limits...even beyond the limits of space and time.Black is an incredible story of evil and rescue, betrayal and love, pursuit and death, and a terrorist's threat unlike anything the human race has ever known.Some say the world hangs in the balance of every choice we make. Now the fate of two worlds hangs in the balance of one man's choice.
N.K. Jemisin	The Hundred Thousand Kingdoms (Inheritance Trilogy, #1)	fantasy	Yeine Darr is an outcast from the barbarian north. But when her mother dies under mysterious circumstances, she is summoned to the majestic city of Sky. There, to her shock, Yeine is named an heiress to the king. But the throne of the Hundred Thousand Kingdoms is not easily won, and Yeine is thrust into a vicious power struggle.
Peggy Rathmann	Officer Buckle & Gloria	fantasy	Besides the beguiling story, the affable illustrations of the smiling Gloria, the accidental mayhem in the background, and the myriad safety tips -- such as 'always pull the toothpick out of your sandwhich' and 'never lick a stop sign in the winter' -- add to the enjoyment. A glorious picture book. -- The Horn BookRathmann is a quick rising star in the world of chidren's books. In this book, she again shows her flair for creating real characters, dramatic situations and for knowing what will make young audiences giggle and think. -- Children's Book Review MagazineRathman brings a lighter-than-air comic touch to this outstanding, solid-as-a-brick picture book. -- Publisher's WeeklyA five-star performance. -- School Library Journal
Gena Showalter	Alice in Zombieland (White Rabbit Chronicles, #1)	young_adult	She won't rest until she's sent every walking corpse back to its grave. Forever.If anyone had told Alice Bell that her entire life would change course between one heartbeat and the next, she would have laughed. From blissful to tragic, innocent to ruined? Please. But that's all it took. One heartbeat. A blink, a breath, a second, and everything she knew and loved was gone.Her father was right. The monsters are real.To avenge her family, Ali must learn to fight the undead. To survive, she must learn to trust the baddest of the bad boys, Cole Holland. But Cole has secrets of his own, and if Ali isn't careful, those secrets might just prove to be more dangerous than the zombies.
Aprilynne Pike	Spells (Wings, #2)	fantasy	"""I can't just storm in and proclaim my intentions. I can't 'steal' you away. I just have to wait and hope that, someday, you'll ask,"" Tamani said.""And if I don't?"" Laurel said, her voice barely above a whisper.""Then I guess I'll be waiting forever.""Although Laurel has come to accept her true identity as a faerie, she refuses to turn her back on her human life - and especially her boyfriend, David - to return to the faerie world.But when she is summoned to Avalon, Laurel's feelings for the charismatic faerie sentry Tamani are undeniable. She is forced to make a choice - a choice that could break her heart."
Stefan Zweig, Joel Rotenberg, Hans Hausmann, Dirk Muller, Peter Gay, Willy Trenk-Trebitsch, Mario Adorf, Gert Westphal	Chess Story	classics	Czentowic, champion d'échecs arrogant, esprit borné à outrance, inculte et étonnamment stupide, occupe le premier plan jusqu'à l'entrée en scène de Monsieur B. Dès lors que cet aristocrate autrichien s'intéresse à la partie livrée entre le champion et les passagers amateurs, la direction du texte bascule.Par un effet de symétrie, la narration se transforme en un face à face tendu entre un esprit brillant et rapide à l'intelligence abstraite et un cerveau au pragmatisme brutal, incapable de projection véritable. Mise en scène percutante de la résurrection de la folie, cette nouvelle oscille entre ouverture et enfermement.
[Justine Korman Fontes]	The Lion King: A little Golden Book	fantasy	The exciting tale of Simba, a young cub who earns his place in the Circle of Life, is retold in the classic Little Golden Book format. Boys and girls ages 2-5 will roar with excitement as they read this retelling of Disney's
Gordon Korman	The Medusa Plot (39 Clues: Cahills vs. Vespers, #1)	young_adult	Are you ready to save the world? The bestselling series returns with an adventure spanning 6 explosive books, 2 secret-filled card packs, and a website that places readers right in the action.Thirteen-year-old Dan Cahill and his older sister, Amy, thought they belonged to the world's most powerful family. They thought the hunt for 39 Clues leading to the source of that power was over. They even thought they'd won. But Amy and Dan were wrong.One by one, distress calls start coming in from around the globe. Cahills are being kidnapped by a shadowy group known only as the Vespers. Now Amy and Dan have only days to fulfill a bizarre ransom request or their captured friends will start dying. Amy and Dan don't know what the Vespers want or how to stop them. Only one thing is clear. The Vespers are playing to win, and if they get their hands on the Clues . . . the world will be their next hostage.
Jeanne Birdsall	The Penderwicks: A Summer Tale of Four Sisters, Two Rabbits, and a Very Interesting Boy (The Penderwicks #1)	young_adult	The Penderwick sisters busily discover the summertime magic of Arundel estate’s sprawling gardens, treasure-filled attic, tame rabbits, and the cook who makes the best gingerbread in Massachusetts. Best of all is Jeffrey Tifton, son of Arundel’s owner, the perfect companion for their adventures. Icy-hearted Mrs. Tifton is less pleased with the Penderwicks than Jeffrey, and warns the new friends to stay out of trouble. Is that any fun? For sure the summer will be unforgettable.
[Nelson DeMille]	The Lion (John Corey, #5)	thriller	"In this follow-up to The Lion's Game, John Corey, former NYPD Homicide detective and special agent for the Anti-Terrorist Task Force, is back. And, unfortunately for Corey, so is Asad Khalil, the notorious Libyan terrorist otherwise known as ""The Lion."" Last we heard from him, Khali had claimed to be defecting to the US only to unleash the most horrific reign of terrorism ever to occur on American soil. While Corey and his partner, FBI agent Kate Mayfield, chased him across the country, Khalil methodically eliminated his victims one by one and then disappeared without a trace. Now, years later, Khalil has returned to America to make good on his threats and take care of unfinished business. ""The Lion"" is a killing machine once again loose in America with a mission of revenge, and John Corey will stop at nothing to achieve his own goal -- to find and kill Khahil."
Karen Marie Moning	Kiss of the Highlander (Highlander, #4)	romance	A laird trapped between centuries...Enchanted by a powerful spell, Highland laird Drustan MacKeltar slumbered for nearly five centuries hidden deep in a cave, until an unlikely savior awakened him. The enticing lass who dressed and spoke like no woman he’d ever known was from his distant future, where crumbled ruins were all that remained of his vanished world. Drustan knew he had to return to his own century if he was to save his people from a terrible fate. And he needed the bewitching woman by his side....A woman changed forever in his arms...Gwen Cassidy had come to Scotland to shake up her humdrum life and, just maybe, meet a man. How could she have known that a tumble down a Highland ravine would send her plunging into an underground cavern — to land atop the most devastatingly seductive man she’d ever seen? Or that once he’d kissed her, he wouldn’t let her go? Bound to Drustan by a passion stronger than time, Gwen is swept back to sixteenth-century Scotland, where a treacherous enemy plots against them... and where a warrior with the power to change history will defy time itself for the woman he loves....
Jo Nesbø, Charlotte Barslund	The Son	thriller	The author of the internationally best-selling Harry Hole series now gives us an electrifying stand-alone novel set amid Oslo's hierarchy of corruption, from which one very unusual young man is about to propel himself into a mission of brutal revenge. Sonny Lofthus, in his early thirties, has been in prison for the last dozen years: serving time for crimes he didn't commit. In exchange, he gets an uninterrupted supply of heroin—and the unexpected stream of fellow prisoners seeking out his uncanny abilities to soothe and absolve. His addiction started when his father committed suicide rather than be exposed as a corrupt cop, and now Sonny is the center of a vortex of corruption: prison staff, police, lawyers, a desperate priest—all of them focused on keeping him stoned and jailed, and all of them under the thumb of Oslo's crime overlord, the Twin. When Sonny learns some long-hidden truths about his father he makes a brilliant escape, and begins hunting down the people responsible for the hideous crimes he's paid for. But he's also being hunted, by the Twin, the cops, and the only person who knows the ultimate truth that Sonny is seeking. The question is, what will he do when they've cornered him?
[John Layman, Rob Guillory]	Chew, Vol. 1: Taster's Choice	fantasy	Tony Chu is a detective with a secret. A weird secret. Tony Chu is Cibopathic, which means he gets psychic impressions from whatever he eats. It also means he's a hell of a detective, as long as he doesn't mind nibbling on the corpse of a murder victim to figure out whodunit, and why. He's been brought on by the Special Crimes Division of the FDA, the most powerful law enforcement agency on the planet, to investigate their strangest, sickest, and most bizarre cases.Collects CHEW issues #1-5.
Linda Sue Park	A Single Shard	young_adult	Tree-ear, an orphan, lives under a bridge in Ch’ulp’o, a potters’ village famed for delicate celadon ware. He has become fascinated with the potter’s craft; he wants nothing more than to watch master potter Min at work, and he dreams of making a pot of his own someday. When Min takes Tree-ear on as his helper, Tree-ear is elated–until he finds obstacles in his path: the backbreaking labor of digging and hauling clay, Min’s irascible temper, and his own ignorance. But Tree-ear is determined to prove himself–even if it means taking a long, solitary journey on foot to present Min’s work in the hope of a royal commission . . . even if it means arriving at the royal court with nothing to show but a single celadon shard.
Margaret Weis, Tracy Hickman	Time of the Twins (Dragonlance: Legends, #1)	fantasy	The first title in the second Dragonlance novel trilogy is now being released for the first time ever in a trade hardcover edition. Featuring the stunning art and design that graced the cover of the paperback edition, this new version is a follow-up to the release of the Dragonlance novels Chronicles trilogy in hardcover in 2003. It also continues the planned release of all of the core Weis & Hickman titles in trade hardcover, allowing fans and collectors alike the chance to obtain the entire set in hardcover.
Christopher Moore	Sacré Bleu: A Comedy d'Art	fantasy	In his latest novel, Moore takes on the Great French Masters. A magnificent “Comedy d’Art”, Sacré Bleu is part mystery, part history (sort of), part love story, and wholly hilarious as it follows a young baker-painter who joins the dapper Henri Toulouse-Lautrec on a quest to unravel the mystery behind the supposed suicide of Vincent van Gogh.
Arkady Strugatsky, Boris Strugatsky, Antonina W. Bouis, Antonina W. Bouis, Theodore Sturgeon	Roadside Picnic	classics	Red Schuhart is a stalker, one of those young rebels who are compelled, in spite of extreme danger, to venture illegally into the Zone to collect the mysterious artifacts that the alien visitors left scattered around. His life is dominated by the place and the thriving black market in the alien products. But when he and his friend Kirill go into the Zone together to pick up a “full empty,” something goes wrong. And the news he gets from his girlfriend upon his return makes it inevitable that he’ll keep going back to the Zone, again and again, until he finds the answer to all his problems.
[Meg Cabot]	Queen of Babble Gets Hitched (Queen of Babble, #3)	romance	Big mouth. Big heart.Big wedding. Big problems.It's the wedding of the century!Things are looking up at last for Lizzie Nichols. She has a career she loves in the field of her choice (wedding gown restoration), and the love of her life, Jean-Luc, has finally proposed. Life's become a dizzying whirl of wedding gown fittings—not necessarily her own—as Lizzie prepares for her dream wedding at her fiancé's château in the south of France.But the dream soon becomes a nightmare as the best man—whom Lizzie might once have accidentally slept with . . . no, really, just slept—announces his total lack of support for the couple, a sentiment the maid of honor happens to second; Lizzie's Midwestern family can't understand why she doesn't want to have her wedding in the family backyard; her future, oh-so-proper French in-laws seem to be slowly trying to lure the groom away from medical school and back into investment banking; and Lizzie finds herself wondering if her Prince Charming really is as charming as she once believed.Is Lizzie really ready to embrace her new role as wife and mistress of Château Mirac? Or is she destined to fall into another man's arms . . . and into the trap of becoming a Bad Girl instead?
Elizabeth Gaskell	Cranford	classics	'It is very pleasant dining with a bachelor...I only hope it is not improper; so many pleasant things are!'A portrait of the residents of an English country town in the mid nineteenth century, Cranford relates the adventures of Miss Matty and Miss Deborah, two middle-aged spinster sisters striving to live with dignity in reduced circumstances. Through a series of vignettes, Elizabeth Gaskell portrays a community governed by old-fashioned habits and dominated by friendships between women. Her wry account of rural life is undercut, however, by tragedy in its depiction of such troubling events as Matty's bankruptcy, the violent death of Captain Brown or the unwitting cruelty of Peter Jenkyns. Written with acute observation, Cranford is by turns affectionate, moving and darkly satirical.In her introduction, Patricia Ingham discusses Cranford in relation to Gaskell's own past and as a work of irony in the manner of Jane Austen. She also considers the implications of the novel in terms of class and empire. This edition also includes further reading, notes, and an appendix on the significance of 'Fashion at Cranford'.
Don DeLillo	Underworld	classics	"While Eisenstein documented the forces of totalitarianism and Stalinism upon the faces of the Russian peoples, DeLillo offers a stunning, at times overwhelming, document of the twin forces of the Cold War and American culture, compelling that ""swerve from evenness"" in which he finds events and people both wondrous and horrifying.Underworld opens with a breathlessly graceful prologue set during the final game of the Giants-Dodgers pennant race in 1951. Written in what DeLillo calls ""super-omniscience"" the sentences sweep from young Cotter Martin as he jumps the gate to the press box, soars over the radio waves, runs out to the diamond, slides in on a fast ball, pops into the stands where J. Edgar Hoover is sitting with a drunken Jackie Gleason and a splenetic Frank Sinatra, and learns of the Soviet Union's second detonation of a nuclear bomb. It's an absolutely thrilling literary moment. When Bobby Thomson hits Branca's pitch into the outstretched hand of Cotter—the ""shot heard around the world""—and Jackie Gleason pukes on Sinatra's shoes, the events of the next few decades are set in motion, all threaded together by the baseball as it passes from hand to hand.""It's all falling indelibly into the past,"" writes DeLillo, a past that he carefully recalls and reconstructs with acute grace. Jump from Giants Stadium to the Nevada desert in 1992, where Nick Shay, who now owns the baseball, reunites with the artist Kara Sax. They had been brief and unlikely lovers 40 years before, and it is largely through the events, spinoffs, and coincidental encounters of their pasts that DeLillo filters the Cold War experience. He believes that ""global events may alter how we live in the smallest ways,"" and as the book steps back in time to 1951, over the following 800-odd pages, we see just how those events alter lives. This reverse narrative allows the author to strip away the detritus of history and pop culture until we get to the story's pure elements: the bomb, the baseball, and the Bronx. In an epilogue as breathless and stunning as the prologue, DeLillo fast-forwards to a near future in which ruthless capitalism, the Internet, and a new, hushed faith have replaced the Cold War's blend of dread and euphoria.Through fragments and interlaced stories—including those of highway killers, artists, celebrities, conspiracists, gangsters, nuns, and sundry others—DeLillo creates a fragile web of connected experience, a communal Zeitgeist that encompasses the messy whole of five decades of American life, wonderfully distilled."
Jack Kerouac, Aram Saroyan	Big Sur	classics	"""Each book by Jack Kerouac is unique, a telepathic diamond. With prose set in the middle of his mind, he reveals consciousness itself in all its syntactic elaboration, detailing the luminous emptiness of his own paranoiac confusion. Such rich natural writing is nonpareil in later half XX century, a synthesis of Proust, Céline, Thomas Wolfe, Hemingway, Genet, Thelonius Monk, Basho, Charlie Parker & Kerouac's own athletic sacred insight. ""Big Sur's humane, precise account of the extraordinary ravages of alcohol delirium tremens on Kerouac, a superior novelist who had strength to complete his poetic narrative, a task few scribes so afflicted have accomplished—others crack up. Here we meet San Francisco's poets & recognize hero Dean Moriarty ten years after On the Road. Jack Kerouac was a 'writer,' as his great peer W.S. Burroughs says, and here at the peak of his suffering humorous genius he wrote through his misery to end with 'Sea,' a brilliant poem appended, on the hallucinatory Sounds of the Pacific Ocean at Big Sur.""—Allen Ginsberg 10/10/91 N.Y.C."
P.G. Wodehouse	My Man Jeeves (Jeeves, #1)	classics	"Who can forget our beloved gentleman's personal gentleman, Jeeves, who ever comes to the rescue when the hapless Bertie Wooster falls into trouble. My Man Jeeves is sure to please anyone with a taste for pithy buffoonery, moronic misunderstandings, gaffes, and aristocratic slapstick.Contents:""Leave It to Jeeves""""Jeeves and the Unbidden Guest"" ""Jeeves and the Hard-boiled Egg"" ""Absent Treatment""""Helping Freddie""""Rallying Round Old George""""Doing Clarence a Bit of Good""""The Aunt and the Sluggard"""
Melissa Marr	Radiant Shadows (Wicked Lovely, #4)	young_adult	Alluring romance, heart-stopping danger, and sinister intrigue combine in the penultimate volume of Melissa Marr's #1 New York Times bestselling Wicked Lovely series.Half-human and half-faery, Ani is driven by her hungers.Those same appetites also attract powerful enemies and uncertain allies, including Devlin. He was created as an assassin and is brother to the faeries' coolly logical High Queen and to her chaotic twin, the embodiment of War. Devlin wants to keep Ani safe from his sisters, knowing that if he fails, he will be the instrument of Ani's death.Ani isn't one to be guarded while others fight battles for her, though. She has the courage to protect herself and the ability to alter Devlin's plans—and his life. The two are drawn together, each with reason to fear the other and to fear for one another. But as they grow closer, a larger threat imperils the whole of Faerie. Will saving the faery realm mean losing each other?
Kristen Ashley	Motorcycle Man (Dream Man, #4)	romance	"Get ready to ride . . . Tyra Masters has had enough drama to last a lifetime. Now, she's back on track and looking forward to her new, quiet life. Until she meets the man of her dreams. The tattooed, muscled biker plies her with tequila-and the best sex of her life. She knows it isn't the tequila and hot sex talking. He's the kind of man she's always wanted. Unfortunately, he's also her new boss . . . Kane ""Tack"" Allen has a rule. He doesn't employ someone he's slept with. So when he learns he spent last night in bed with his new office manager, he quickly fires Tyra. Yet when Tyra stands up to him and fights for her job, Tack is intrigued. He tells her she can keep her job on one condition: no more sex. Ever. But as things heat up between them, Tack finds that he'll be the one breaking all the rules..."
Veronica Rossi	Into the Still Blue (Under the Never Sky, #3)	young_adult	The race to the Still Blue has reached a stalemate. Aria and Perry are determined to find this last safe haven from the Aether storms before Sable and Hess do—and they are just as determined to stay together.Within the confines of a cave they're using as a makeshift refuge, they struggle to reconcile their people, Dwellers and Outsiders, who are united only in their hatred of their desperate situation. Meanwhile, time is running out to rescue Cinder, who was abducted by Hess and Sable for his unique abilities. Then Roar arrives in a grief-stricken fury, endangering all with his need for revenge.Out of options, Perry and Aria assemble an unlikely team for an impossible rescue mission. Cinder isn't just the key to unlocking the Still Blue and their only hope for survival—he's also their friend. And in a dying world, the bonds between people are what matter most.In this final book in her earth-shattering Under the Never Sky trilogy, Veronica Rossi raises the stakes to their absolute limit and brings her epic love story to an unforgettable close.
Ann Brashares	The Last Summer (of You and Me)	romance	Riley and Alice, two sisters now in their twenties, and as fiercely different as they are loyal, have spent every summer at their parents’ modest beach house on New York’s Fire Island. Each year, they return to the house and community they have known since they were children—and to Paul, the boy next door. But this summer marks a season of change: budding love and sexual interest, an illness, and a deep secret force all three to confront the increasing complexities of their lives and friendships.
[Garth Ennis, Steve Dillon]	Preacher, Volume 2: Until the End of the World	fantasy	Continuing the new editions of the classic PREACHER trade paperbacks! This volume contains PREACHER #8-17.In this continuing saga of the bizarre life of a faithless Texas preacher, Jesse Custer heads to the south to confront the extremely dysfunctional family that abused him as a child and planted the original seeds of his disillusionment with the world. Now merged with a half angelic, half demonic being, the former preacher looks to exact revenge against those who simultaneously raised and destroyed him. Then after exorcising his personal demons, Jesse, his girlfriend Tulip, and their friend Cassidy, the Irish vampire, head west to a party of Babylonian proportions.
[Chris   Smith, Christopher  Lee, Richard Taylor]	The Lord of the Rings: Weapons and Warfare	fantasy	Lavishly illustrated with 1,000 photos, paintings, maps, sculptures and sketches, most appearing here for the first time, Weapons and Warfare is an indispensable chronicle of The Lord of the Rings' many creatures, warriors, armies and battlegrounds. From the graceful and proficient Elves to the horrendous war machines of the Dark Lord, each culture's approach to warfare is explained - how they fought, why they were fighting, what armor they wore and what weapons they used against their enemies. Now you can get as close to a marauding Orc as you could ever wish, without suffering the consequences!Treating the filmmakers' notes, designs and props as a true archive, Weapons and Warfare describes in detail every major conflict depicted in the film trilogy - from The Last Alliance of Elves and Men to the climactic Battle of the Pelennor Fields - each accompanied by a battle diagram from the films' chief designers.Armed with a wealth of fascinating facts and unique imagery, and with an exclusive foreword by Christopher Lee and an introduction by the Academy Award winner Richard Taylor, Weapons and Warfare promises to be the most striking companion to The Lord of the Rings movie trilogy published to date.
D.J. MacHale	The Lost City of Faar (Pendragon, #2)	fantasy	CLORALFOURTEEN-YEAR-OLD Bobby Pendragon is not like other boys his age. His uncle Press is a Traveler, and, as Bobby has learned, that means Uncle Press is responsible, through his journeys, for solving interdimensional conflict wherever he encounters it. His mission is nothing less than to save the universe from ultimate evil. And he's taking Bobby along for the ride.Fresh from his first adventure on Denduron, Bobby finds himself in the territory of Cloral, a vast world that is entirely covered by water. Cloral is nearing a disaster of huge proportions. Reading the journals Bobby sends home, his friends learn that the desperate citizens of the endangered floating cities are on the brink of war. Can Bobby - suburban basketball star and all-around nice guy - help rid the area of marauders, and locate the legendary lost land of Faar, which may hold the key to Cloral's survival?
Elizabeth  George	A Great Deliverance (Inspector Lynley, #1)	thriller	"To this day, the low, thin wail of an infant can be heard in Keldale's lush green valleys. Three hundred years ago, as legend goes, the frightened Yorkshire villagers smothered a crying babe in Keldale Abbey, where they'd hidden to escape the ravages of Cromwell's raiders.Now into Keldale's pastoral web of old houses and older secrets comes Scotland Yard Inspector Thomas Lynley, the eighth earl of Asherton. Along with the redoubtable Detective Sergeant Barbara Havers, Lynley has been sent to solve a savage murder that has stunned the peaceful countryside. For fat, unlovely Roberta Teys has been found in her best dress, an axe in her lap, seated in the old stone barn beside her father's headless corpse. Her first and last words were ""I did it. And I'm not sorry.""Yet as Lynley and Havers wind their way through Keldale's dark labyrinth of secret scandals and appalling crimes, they uncover a shattering series of revelations that will reverberate through this tranquil English valley—and in their own lives as well."
Arturo Pérez-Reverte, Sonia Soto	The Club Dumas	thriller	Lucas Corso is a book detective, a middle-aged mercenary hired to hunt down rare editions for wealthy and unscrupulous clients. When a well-known bibliophile is found dead, leaving behind part of the original manuscript of Alexandre Dumas's The Three Musketeers, Corso is brought in to authenticate the fragment. He is soon drawn into a swirling plot involving devil worship, occult practices, and swashbuckling derring-do among a cast of characters bearing a suspicious resemblance to those of Dumas's masterpiece. Aided by a mysterious beauty named for a Conan Doyle heroine, Corso travels from Madrid to Toledo to Paris on the killer's trail in this twisty intellectual romp through the book world
Shannon Hale	Enna Burning (The Books of Bayern, #2)	fantasy	Enna and Princess Isi became fast friends in The Goose Girl, but after Isi married Prince Geric, Enna returned to the forest. Enna's simple life changes forever when she learns to wield fire and burn anything at will. Enna is convinced that she can use her ability for good--to fight Tira, the kingdom threatening the Bayern borders--and goes on secret raids to set fire to the Tiran camps and villages. But as the power of the fire grows stronger, she is less able to control her need to burn. In her recklessness she is captured by the Tiran army and held captive by a handsome, manipulative young captain who drugs her to keep her under his influence. Can Isi and her old friends Finn and Razo rescue her without sacrificing themselves? And with the fire still consuming her, will Enna find a way to manage the gift that threatens to destroy her?
Meg Cabot	Twilight (The Mediator, #6)	young_adult	This time it's life or death.Suze has gotten used to ghosts. She's a mediator, after all, and communicating with the dead is all in a day's work. So she certainly never expected to fall in love with one: Jesse, a nineteenth-century hottie. But when she discovers that she has the power to determine who becomes a ghost in the first place, Suze begins to freak. It means she can alter the course of history... and prevent Jesse's murder, keeping him from ever becoming a ghost - and from ever meeting Suze.Will Jesse choose to live without her, or die to love her?
Beverly Cleary, Paul O. Zelinsky	Dear Mr. Henshaw (Leigh Botts, #1)	young_adult	Leigh has been Boyd Henshaw's number one fan ever since he was in second grade. Now in sixth grade, Leigh lives with his mother and is the new kid in school. He's lonely, troubled by the absence of his father, a cross-country trucker, and angry because a mysterious thief steals from his lunchbag. Then Leigh's teacher assigns a letter-writing project. Naturally Leigh chooses to write to Mr. Henshaw, whose surprising answer changes Leigh's life. (back cover)
Ann Patchett	The Magician's Assistant	fantasy	Sabine-- twenty years a magician's assistant to her handsome, charming husband-- is suddenly a widow. In the wake of his death, she finds he has left a final trick; a false identity and a family allegedly lost in a tragic accident but now revealed as very much alive and well. Named as heirs in his will, they enter Sabine's life and set her on an adventure of unraveling his secrets, from sunny Los Angeles to the windswept plains of Nebraska, that will work its own sort of magic on her.
Douglas Coupland	Generation X: Tales for an Accelerated Culture	classics	Andy, Dag and Claire have been handed a society priced beyond their means. Twentysomethings, brought up with divorce, Watergate and Three Mile Island, and scarred by the 80s fall-out of yuppies, recession, crack and Ronald Reagan, they represent the new generation - Generation X.Fiercely suspicious of being lumped together as an advertiser's target market, they have quit dreary careers and cut themselves adrift in the California desert. Unsure of their futures, they immerse themselves in a regime of heavy drinking and working at no-future McJobs in the service industry.Underemployed, overeducated, intensely private and unpredictable, they have nowhere to direct their anger, no one to assuage their fears, and no culture to replace their anomie. So they tell stories; disturbingly funny tales that reveal their barricaded inner world. A world populated with dead TV shows, 'Elvis moments' and semi-disposable Swedish furniture...
Agatha Christie	Evil Under the Sun (Hercule Poirot, #23)	classics	It seems that no matter how hard he tries, Poirot never quite gets a holiday. This story sees him in Devon, Agatha Christie’s home county, and, of course, among the scantily clad sunbathers, a murdered woman is found.It was not unusual to find the beautiful bronzed body of the sun-loving Arlena Stuart stretched out on a beach, face down. Only, on this occasion, there was no sun… she had been strangled. Ever since Arlena’s arrival at the resort, Hercule Poirot had detected sexual tension in the seaside air. But could this apparent ‘crime of passion’ have been something more evil and premeditated altogether?
Joanna Wylde	Reaper's Property (Reapers MC, #1)	romance	Marie doesn’t need a complication like Horse. The massive, tattooed, badass biker who shows up at her brother’s house one afternoon doesn’t agree. He wants Marie on his bike and in his bed. Now.But Marie just left her abusive jerk of an ex-husband and she’s not looking for a new man. Especially one like Horse—she doesn’t know his real name or where he lives, she’s ninety percent certain he’s a criminal and that the “business” he talks with her brother isn’t website design. She needs him out of her life, which would be a snap if he’d just stop giving her mind-blowing orgasms.Horse is part of the Reapers Motorcycle Club, and when he wants something, he takes it. What he wants is Marie, but she’s not interested in becoming “property of”.Then her brother steals from the club. Marie can save him by giving Horse what he wants—at home, in public, on his bike… If she’s a very, very good girl, she’ll get lots more of those orgasms only he can offer, and he’ll let her brother live.Maybe.
Mary O'Hara, Dave Blossom	My Friend Flicka (Flicka, #1)	classics	It seems Ken can't do anything right. He loses saddle blankets and breaks reins...but then comes the worst news yet: a report card so bad that he has to repeat a grade. How can you tame the dreamy mind of a boy who stares out of the window instead of taking an exam? Enter Flicka, the chestnut filly with a wild spirit. Over the course of one magical summer, both will learn the meaning of responsibility, courage, and, ultimately, friendship.
Philippa Gregory, Mirjana Valent	The Kingmaker's Daughter (The Plantagenet and Tudor Novels, #4)	romance	"Spies, poison, and curses surround her...Is there anyone she can trust? The Kingmaker's Daughter is the gripping story of the daughters of the man known as the ""Kingmaker,"" Richard Neville, Earl of Warwick: the most powerful magnate in fifteenth-century England. Without a son and heir, he uses his daughters, Anne and Isabel as pawns in his political games, and they grow up to be influential players in their own right. In this novel, her first sister story since The Other Boleyn Girl, Philippa Gregory explores the lives of two fascinating young women.At the court of Edward IV and his beautiful queen, Elizabeth Woodville, Anne grows from a delightful child to become ever more fearful and desperate when her father makes war on his former friends. Married at age fourteen, she is soon left widowed and fatherless, her mother in sanctuary and her sister married to the enemy. Anne manages her own escape by marrying Richard, Duke of Gloucester, but her choice will set her on a collision course with the overwhelming power of the royal family and will cost the lives of those she loves most in the world, including her precious only son, Prince Edward. Ultimately, the kingmaker's daughter will achieve her father's greatest ambition."
